Name,Code,Difference
(GMT+05:45) Nepal Time,Asia/Kathmandu,+05:45
(GMT+06:00) Bangladesh Standard Time,Asia/Dhaka,+06:00
(GMT+06:00) Bhutan Time,Asia/Thimphu,+06:00
(GMT+06:00) East Kazakhstan Time - Almaty,Asia/Almaty,+06:00
(GMT+06:00) East Kazakhstan Time - Kostanay,Asia/Qostanay,+06:00
(GMT+06:00) Indian Ocean Time,Indian/Chagos,+06:00
(GMT+06:00) Kyrgyzstan Time,Asia/Bishkek,+06:00
(GMT+06:00) Omsk Standard Time,Asia/Omsk,+06:00
(GMT+06:00) Urumqi Time,Asia/Urumqi,+06:00
(GMT+06:00) Vostok Time,Antarctica/Vostok,+06:00
(GMT+06:30) Cocos Islands Time,Indian/Cocos,+06:30
(GMT+06:30) Myanmar Time,Asia/Yangon,+06:30
(GMT+07:00) Barnaul Time,Asia/Barnaul,+07:00
(GMT+07:00) Christmas Island Time,Indian/Christmas,+07:00
(GMT+07:00) Davis Time,Antarctica/Davis,+07:00
(GMT+07:00) Hovd Standard Time,Asia/Hovd,+07:00
(GMT+07:00) Indochina Time - Bangkok,Asia/Bangkok,+07:00
(GMT+07:00) Indochina Time - Ho Chi Minh City,Asia/Ho_Chi_Minh,+07:00
(GMT+07:00) Krasnoyarsk Standard Time - Krasnoyarsk,Asia/Krasnoyarsk,+07:00
(GMT+07:00) Krasnoyarsk Standard Time - Novokuznetsk,Asia/Novokuznetsk,+07:00
(GMT+07:00) Novosibirsk Standard Time,Asia/Novosibirsk,+07:00
(GMT+07:00) Tomsk Time,Asia/Tomsk,+07:00
(GMT+07:00) Western Indonesia Time - Jakarta,Asia/Jakarta,+07:00
(GMT+07:00) Western Indonesia Time - Pontianak,Asia/Pontianak,+07:00
(GMT+08:00) Australian Western Standard Time,Australia/Perth,+08:00
(GMT+08:00) Brunei Darussalam Time,Asia/Brunei,+08:00
(GMT+08:00) Central Indonesia Time,Asia/Makassar,+08:00
(GMT+08:00) China Standard Time - Macao,Asia/Macau,+08:00
